#       sim_time             PVI       water_cut    oil_recovery     cumulateoil
   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00
   3.0771701e+02   3.9572159e-03   0.0000000e+00   1.0000000e+00   3.5615395e-03
   6.6159156e+02   8.5080142e-03   0.0000000e+00   1.0000000e+00   7.6573098e-03
   1.0685473e+03   1.3741432e-02   0.0000000e+00   1.0000000e+00   1.2367446e-02
   1.5365464e+03   1.9759863e-02   0.0000000e+00   1.0000000e+00   1.7784102e-02
   2.0747454e+03   2.6681058e-02   0.0000000e+00   1.0000000e+00   2.4013257e-02
   2.6936742e+03   3.4640433e-02   0.0000000e+00   1.0000000e+00   3.1176785e-02
   3.4054423e+03   4.3793714e-02   0.0000000e+00   1.0000000e+00   3.9414842e-02
   4.2239757e+03   5.4319987e-02   0.0000000e+00   1.0000000e+00   4.8888608e-02
   5.1652890e+03   6.6425201e-02   0.0000000e+00   1.0000000e+00   5.9783438e-02
   6.2477994e+03   8.0346197e-02   0.0000000e+00   1.0000000e+00   7.2312494e-02
   7.4926863e+03   9.6355342e-02   0.0000000e+00   1.0000000e+00   8.6720907e-02
   8.9243063e+03   1.1476586e-01   0.0000000e+00   1.0000000e+00   1.0329058e-01
   1.0570669e+04   1.3593795e-01   0.0000000e+00   1.0000000e+00   1.2234571e-01
   1.1970078e+04   1.5393423e-01   0.0000000e+00   1.0000000e+00   1.3854257e-01
   1.3159575e+04   1.6923107e-01   0.0000000e+00   1.0000000e+00   1.5230990e-01
   1.4170648e+04   1.8223339e-01   0.0000000e+00   1.0000000e+00   1.6401213e-01
   1.5030059e+04   1.9328535e-01   0.0000000e+00   1.0000000e+00   1.7395902e-01
   1.5760559e+04   2.0267952e-01   0.0000000e+00   1.0000000e+00   1.8241388e-01
   1.6381484e+04   2.1066457e-01   0.0000000e+00   1.0000000e+00   1.8960051e-01
   1.6909271e+04   2.1745186e-01   0.0000000e+00   1.0000000e+00   1.9570915e-01
   1.7357889e+04   2.2322105e-01   0.0000000e+00   1.0000000e+00   2.0090149e-01
